C,S,L,P,T,R,Z
TS2,YUM,1,79.98,1,1,0
TS2,EL,1,145.2,1,1,0
TS2,NEE,1,159.94,1,1,0
TS2,PEG,1,51.47,1,1,0
DEEP,BBY,1,67.72,1,1,0
DEEP,BBY,2,67.2,1,1,0
DEEP,BBY,3,66.69,1,1,0
DEEP,BBY,4,66.17,1,1,0
DEEP,BBY,5,65.65,1,1,0
DEEP,BBY,6,65.13,1,1,0
DEEP,BBY,7,64.61,1,1,0
DEEP,BBY,8,64.1,1,1,0
TS3,HP,3,64.1,1,1,0
TS3,HP,4,63.02,1,1,0
TS3,HP,5,61.94,1,1,0
TS3,HP,6,60.86,1,1,0
TS3,HP,7,59.78,1,1,0
TS3,HP,8,58.7,1,1,0
TS3,FITB,1,30.17,1,1,0
TS3,FITB,2,29.77,1,1,0
TS3,FITB,3,29.37,1,1,0
TS3,FITB,4,28.97,1,1,0
TS3,FITB,5,28.57,1,1,0
TS3,FITB,6,28.17,1,1,0
TS3,FITB,7,27.77,1,1,0
TS3,FITB,8,27.37,1,1,0
TS3,MU,1,55.9,1,1,0
TS3,MU,2,54.26,1,1,0
TS3,MU,3,52.62,1,1,0
TS3,MU,4,50.98,1,1,0
TS3,MU,5,49.34,1,1,0
TS3,MU,6,47.7,1,1,0
TS3,MU,7,46.06,1,1,0
TS3,MU,8,44.42,1,1,0
TS3,IGT,1,24.69,1,1,0
TS3,IGT,2,24.14,1,1,0
TS3,IGT,3,23.59,1,1,0
TS3,IGT,4,23.04,1,1,0
TS3,IGT,5,22.49,1,1,0
TS3,IGT,6,21.94,1,1,0
TS3,IGT,7,21.39,1,1,0
TS3,IGT,8,20.84,1,1,0
TS3,EMR,1,70.19,1,1,0
TS3,EMR,2,69.54,1,1,0
TS3,EMR,3,68.89,1,1,0
TS3,EMR,4,68.24,1,1,0
TS3,EMR,5,67.59,1,1,0
TS3,EMR,6,66.94,1,1,0
TS3,EMR,7,66.29,1,1,0
TS3,EMR,8,65.64,1,1,0
TS3,SM,1,22.26,1,1,0
TS3,SM,2,21.33,1,1,0
TS3,SM,3,20.4,1,1,0
TS3,SM,4,19.47,1,1,0
TS3,SM,5,18.54,1,1,0
TS3,SM,6,17.61,1,1,0
TS3,SM,7,16.68,1,1,0
TS3,SM,8,15.75,1,1,0
TS3,BF.B,0,55.59,0,1,0
TS3,BF.B,1,54.92,1,1,0
TS3,BF.B,2,54.25,1,1,0
TS3,BF.B,3,53.58,1,1,0
TS3,BF.B,4,52.91,1,1,0
TS3,BF.B,5,52.24,1,1,0
TS3,BF.B,6,51.57,1,1,0
TS3,BF.B,7,50.9,1,1,0
TS3,BF.B,8,50.23,1,1,0
TS3,FANG,2,113.22,1,1,0
TS3,FANG,3,110.94,1,1,0
TS3,FANG,4,108.66,1,1,0
TS3,FANG,5,106.38,1,1,0
TS3,FANG,6,104.1,1,1,0
TS3,FANG,7,101.82,1,1,0
TS3,FANG,8,99.54,1,1,0
RSO,FITB,13,29.97,1,1,0
RSO,FITB,14,29.89,1,1,0
RSO,FITB,15,29.82,1,1,0
RSO,FITB,16,29.75,1,1,0
RSO,FITB,17,29.68,1,1,0
RSO,FITB,18,29.6,1,1,0
RSO,FITB,19,29.53,1,1,0
RSO,FITB,20,29.46,1,1,0
RSO,HP,1,63.45,1,1,0
RSO,HP,2,63.26,1,1,0
RSO,HP,3,63.06,1,1,0
RSO,HP,4,62.87,1,1,0
RSO,HP,5,62.67,1,1,0
RSO,HP,6,62.48,1,1,0
RSO,HP,7,62.29,1,1,0
RSO,HP,8,62.09,1,1,0
RSO,HP,9,61.9,1,1,0
RSO,HP,10,61.7,1,1,0
RSO,HP,11,61.51,1,1,0
RSO,HP,12,61.31,1,1,0
RSO,HP,13,61.12,1,1,0
RSO,HP,14,60.92,1,1,0
RSO,HP,15,60.73,1,1,0
RSO,HP,16,60.54,1,1,0
RSO,HP,17,60.34,1,1,0
RSO,HP,18,60.15,1,1,0
RSO,HP,19,59.95,1,1,0
RSO,HP,20,59.76,1,1,0
100H,CTL,8,17.39,1,1,0
100H,CTL,9,17.34,1,1,0
100H,CTL,10,17.29,1,1,0
100H,CTL,11,17.24,1,1,0
100H,CTL,12,17.19,1,1,0
100H,CTL,13,17.14,1,1,0
100H,CTL,14,17.1,1,1,0
100H,QEP,6,11.63,1,1,0
100H,QEP,7,11.57,1,1,0
100H,QEP,8,11.5,1,1,0
100H,QEP,9,11.44,1,1,0
100H,QEP,10,11.37,1,1,0
100H,QEP,11,11.3,1,1,0
100H,QEP,12,11.24,1,1,0
100H,QEP,13,11.17,1,1,0
100H,QEP,14,11.11,1,1,0
100H,SKX,2,28.68,1,1,0
100H,SKX,3,28.59,1,1,0
100H,SKX,4,28.49,1,1,0
100H,SKX,5,28.39,1,1,0
100H,SKX,6,28.29,1,1,0
100H,SKX,7,28.2,1,1,0
100H,SKX,8,28.1,1,1,0
100H,SKX,9,28,1,1,0
100H,SKX,10,27.9,1,1,0
100H,SKX,11,27.81,1,1,0
100H,SKX,12,27.71,1,1,0
100H,SKX,13,27.61,1,1,0
100H,SKX,14,27.51,1,1,0
100H,BF.B,0,55.08,1,1,0
100H,BF.B,1,54.92,1,1,0
100H,BF.B,2,54.76,1,1,0
100H,BF.B,3,54.6,1,1,0
100H,BF.B,4,54.44,1,1,0
100H,BF.B,5,54.28,1,1,0
100H,BF.B,6,54.12,1,1,0
100H,BF.B,7,53.96,1,1,0
100H,BF.B,8,53.8,1,1,0
100H,BF.B,9,53.64,1,1,0
100H,BF.B,10,53.48,1,1,0
100H,BF.B,11,53.32,1,1,0
100H,BF.B,12,53.16,1,1,0
100H,BF.B,13,53,1,1,0
100H,BF.B,14,52.84,1,1,0
100H,FANG,0,113.62,1,1,0
100H,FANG,1,113.08,1,1,0
100H,FANG,2,112.53,1,1,0
100H,FANG,3,111.98,1,1,0
100H,FANG,4,111.44,1,1,0
100H,FANG,5,110.89,1,1,0
100H,FANG,6,110.34,1,1,0
100H,FANG,7,109.79,1,1,0
100H,FANG,8,109.24,1,1,0
100H,FANG,9,108.7,1,1,0
100H,FANG,10,108.15,1,1,0
100H,FANG,11,107.6,1,1,0
100H,FANG,12,107.05,1,1,0
100H,FANG,13,106.51,1,1,0
100H,FANG,14,105.96,1,1,0
100H,RSPP,0,39.59,1,1,0
100H,RSPP,1,39.32,1,1,0
100H,RSPP,2,39.05,1,1,0
100H,RSPP,3,38.77,1,1,0
100H,RSPP,4,38.5,1,1,0
100H,RSPP,5,38.23,1,1,0
100H,RSPP,6,37.96,1,1,0
100H,RSPP,7,37.68,1,1,0
100H,RSPP,8,37.41,1,1,0
100H,RSPP,9,37.14,1,1,0
100H,RSPP,10,36.86,1,1,0
100H,RSPP,11,36.59,1,1,0
100H,RSPP,12,36.32,1,1,0
100H,RSPP,13,36.05,1,1,0
100H,RSPP,14,35.77,1,1,0
100H,PE,0,27.69,1,1,0
100H,PE,1,27.53,1,1,0
100H,PE,2,27.38,1,1,0
100H,PE,3,27.22,1,1,0
100H,PE,4,27.07,1,1,0
100H,PE,5,26.91,1,1,0
100H,PE,6,26.76,1,1,0
100H,PE,7,26.6,1,1,0
100H,PE,8,26.45,1,1,0
100H,PE,9,26.29,1,1,0
100H,PE,10,26.14,1,1,0
100H,PE,11,25.98,1,1,0
100H,PE,12,25.83,1,1,0
100H,PE,13,25.67,1,1,0
100H,PE,14,25.52,1,1,0
100H,ACHC,0,39.55,1,1,0
100H,ACHC,1,39.42,1,1,0
100H,ACHC,2,39.29,1,1,0
100H,ACHC,3,39.16,1,1,0
100H,ACHC,4,39.04,1,1,0
100H,ACHC,5,38.91,1,1,0
100H,ACHC,6,38.78,1,1,0
100H,ACHC,7,38.65,1,1,0
100H,ACHC,8,38.53,1,1,0
100H,ACHC,9,38.4,1,1,0
100H,ACHC,10,38.27,1,1,0
100H,ACHC,11,38.14,1,1,0
100H,ACHC,12,38.02,1,1,0
100H,ACHC,13,37.89,1,1,0
100H,ACHC,14,37.76,1,1,0
100H,ULTA,0,232.73,1,1,0
100H,ULTA,1,231.43,1,1,0
100H,ULTA,2,230.13,1,1,0
100H,ULTA,3,228.83,1,1,0
100H,ULTA,4,227.53,1,1,0
100H,ULTA,5,226.23,1,1,0
100H,ULTA,6,224.93,1,1,0
100H,ULTA,7,223.62,1,1,0
100H,ULTA,8,222.32,1,1,0
100H,ULTA,9,221.02,1,1,0
100H,ULTA,10,219.72,1,1,0
100H,ULTA,11,218.42,1,1,0
100H,ULTA,12,217.12,1,1,0
100H,ULTA,13,215.82,1,1,0
100H,ULTA,14,214.52,1,1,0
BONNH,ANF,0,20.68,1,1,0
BONNH,ANF,1,20.62,1,1,0
BONNH,ANF,2,20.56,1,1,0
BONNH,ANF,3,20.5,1,1,0
BONNH,ANF,4,20.44,1,1,0
BONNH,ANF,5,20.38,1,1,0
BONNH,ANF,6,20.32,1,1,0
BONNH,ANF,7,20.26,1,1,0
BONNH,ANF,8,20.2,1,1,0
BONNH,SM,0,22.03,1,1,0
BONNH,SM,1,21.97,1,1,0
BONNH,SM,2,21.91,1,1,0
BONNH,SM,3,21.85,1,1,0
BONNH,SM,4,21.79,1,1,0
BONNH,SM,5,21.73,1,1,0
BONNH,SM,6,21.67,1,1,0
BONNH,SM,7,21.61,1,1,0
BONNH,SM,8,21.55,1,1,0
BONNH,TLRD,0,28.86,1,1,0
BONNH,TLRD,1,28.79,1,1,0
BONNH,TLRD,2,28.72,1,1,0
BONNH,TLRD,3,28.65,1,1,0
BONNH,TLRD,4,28.58,1,1,0
BONNH,TLRD,5,28.51,1,1,0
BONNH,TLRD,6,28.44,1,1,0
BONNH,TLRD,7,28.37,1,1,0
BONNH,TLRD,8,28.3,1,1,0
BONNH,FLO,0,18.83,1,1,0
BONNH,FLO,1,18.8,1,1,0
BONNH,FLO,2,18.77,1,1,0
BONNH,FLO,3,18.74,1,1,0
BONNH,FLO,4,18.71,1,1,0
BONNH,FLO,5,18.68,1,1,0
BONNH,FLO,6,18.65,1,1,0
BONNH,FLO,7,18.62,1,1,0
BONNH,FLO,8,18.59,1,1,0
BONNH,IBKR,0,68.72,1,1,0
BONNH,IBKR,1,68.62,1,1,0
BONNH,IBKR,2,68.52,1,1,0
BONNH,IBKR,3,68.42,1,1,0
BONNH,IBKR,4,68.32,1,1,0
BONNH,IBKR,5,68.22,1,1,0
BONNH,IBKR,6,68.12,1,1,0
BONNH,IBKR,7,68.02,1,1,0
BONNH,IBKR,8,67.92,1,1,0
BONNH,SRC,0,7.26,1,1,0
BONNH,SRC,1,7.25,1,1,0
BONNH,SRC,2,7.24,1,1,0
BONNH,SRC,3,7.23,1,1,0
BONNH,SRC,4,7.22,1,1,0
BONNH,SRC,5,7.21,1,1,0
BONNH,SRC,6,7.2,1,1,0
BONNH,SRC,7,7.19,1,1,0
BONNH,SRC,8,7.18,1,1,0
BONNH,BLMN,0,19.85,1,1,0
BONNH,BLMN,1,19.82,1,1,0
BONNH,BLMN,2,19.79,1,1,0
BONNH,BLMN,3,19.76,1,1,0
BONNH,BLMN,4,19.73,1,1,0
BONNH,BLMN,5,19.7,1,1,0
BONNH,BLMN,6,19.67,1,1,0
BONNH,BLMN,7,19.64,1,1,0
BONNH,BLMN,8,19.61,1,1,0
BON,PUMP,6,15.16,1,1,0
BON,PUMP,7,15.11,1,1,0
BON,PUMP,8,15.06,1,1,0
BON,SM,0,22.03,1,1,0
BON,SM,1,21.97,1,1,0
BON,SM,2,21.91,1,1,0
BON,SM,3,21.85,1,1,0
BON,SM,4,21.79,1,1,0
BON,SM,5,21.73,1,1,0
BON,SM,6,21.67,1,1,0
BON,SM,7,21.61,1,1,0
BON,SM,8,21.55,1,1,0
BON,TLRD,0,28.86,1,1,0
BON,TLRD,1,28.79,1,1,0
BON,TLRD,2,28.72,1,1,0
BON,TLRD,3,28.65,1,1,0
BON,TLRD,4,28.58,1,1,0
BON,TLRD,5,28.51,1,1,0
BON,TLRD,6,28.44,1,1,0
BON,TLRD,7,28.37,1,1,0
BON,TLRD,8,28.3,1,1,0
BON,CATM,0,24.33,1,1,0
BON,CATM,1,24.28,1,1,0
BON,CATM,2,24.23,1,1,0
BON,CATM,3,24.18,1,1,0
BON,CATM,4,24.13,1,1,0
BON,CATM,5,24.08,1,1,0
BON,CATM,6,24.03,1,1,0
BON,CATM,7,23.98,1,1,0
BON,CATM,8,23.93,1,1,0
BON,DNOW,0,13.1,1,1,0
BON,DNOW,1,13.08,1,1,0
BON,DNOW,2,13.06,1,1,0
BON,DNOW,3,13.04,1,1,0
BON,DNOW,4,13.02,1,1,0
BON,DNOW,5,13,1,1,0
BON,DNOW,6,12.98,1,1,0
BON,DNOW,7,12.96,1,1,0
BON,DNOW,8,12.94,1,1,0
BON,SRC,0,7.26,1,1,0
BON,SRC,1,7.25,1,1,0
BON,SRC,2,7.24,1,1,0
BON,SRC,3,7.23,1,1,0
BON,SRC,4,7.22,1,1,0
BON,SRC,5,7.21,1,1,0
BON,SRC,6,7.2,1,1,0
BON,SRC,7,7.19,1,1,0
BON,SRC,8,7.18,1,1,0
BON,AEE,0,55.2,1,1,0
BON,AEE,1,55.15,1,1,0
BON,AEE,2,55.1,1,1,0
BON,AEE,3,55.05,1,1,0
BON,AEE,4,55,1,1,0
BON,AEE,5,54.95,1,1,0
BON,AEE,6,54.9,1,1,0
BON,AEE,7,54.85,1,1,0
BON,AEE,8,54.8,1,1,0
BON,CMS,0,42.91,1,1,0
BON,CMS,1,42.88,1,1,0
BON,CMS,2,42.85,1,1,0
BON,CMS,3,42.82,1,1,0
BON,CMS,4,42.79,1,1,0
BON,CMS,5,42.76,1,1,0
BON,CMS,6,42.73,1,1,0
BON,CMS,7,42.7,1,1,0
BON,CMS,8,42.67,1,1,0
SV5U,DXC,0,85.9,1,3,0
SV5U,DXC,1,86.23,1,3,0
SV5U,DXC,2,86.56,1,3,0
SV5U,DXC,3,86.89,1,3,0
SV5U,DXC,4,87.22,1,3,0
SOR2,LBRT,0,21.44,1,2,1296
BON,MTDR,0,26.84,1,2,996
BONNH,MTDR,0,26.98,1,2,996
SOR2,CPE,0,10.68,1,1,0
SOR2,CPE,1,10.62,1,1,0
SOR2,CPE,2,10.56,1,1,0
SOR2,FTSI,0,17.58,1,1,0
SOR2,FTSI,1,17.49,1,1,0
SOR2,FTSI,2,17.4,1,1,0
SOR2,MTDR,0,25.34,1,1,0
SOR2,MTDR,1,25.21,1,1,0
SOR2,MTDR,2,25.07,1,1,0
SOR2,QEP,0,11.33,1,1,0
SOR2,QEP,1,11.28,1,1,0
SOR2,QEP,2,11.23,1,1,0
SOR2,RSPP,0,39.45,1,1,0
SOR2,RSPP,1,39.27,1,1,0
SOR2,RSPP,2,39.1,1,1,0
SOR2,TLRD,0,29.16,1,1,0
SOR2,TLRD,1,29.03,1,1,0
SOR2,TLRD,2,28.9,1,1,0